year,contributions,interest,neg_amo
2001,547737267.8,9678726268,-9130989000
2002,559378820.6,741122820.6,-181744000
2003,779780698.8,1224519699,-444739000
2004,832062291.7,1230093292,-398031000
2005,842520087.5,967769087.5,-125249000
2006,865187077.5,1134297078,-269110000
2007,885206838.3,1211834838,-326628000
2008,960998368.3,3846208368,-2885210000
2009,976796112.9,1479173113,-502377000
2010,1003636524,2960892524,-1957256000
2011,1047705382,3109983382,-2062278000
2012,818733061.7,2993368062,-2174635000
2013,1025409000,3743747000,-2718338000
2014,1635150000,2547495000,-912345000
2015,1756686000,2373124000,-616438000
2016,1862174000,2434867000,-572693000
2017,1478955433,1459230433,19725000
2018,1500007141,1246865141,253142000
2019,1507874214,1186570214,321304000
2020,1467801105,1061289105,406512000
2021,1344174756,799744756,544430000
